Mes;Provincia;Municipio;Habitantes2021;Paro.Agricultura;Paro.Industria;Paro.Construcción;Paro.Servicios;ParoTotal;ParoMayoritario;Porcentaje_Paro_Municipio
10;Alicante/Alacant;Alfàs del Pi, l';20495;18;23;116;1117;1303;Servicios;6,36
11;Alicante/Alacant;Alfàs del Pi, l';20495;14;17;102;1082;1244;Servicios;6,07
12;Alicante/Alacant;Alfàs del Pi, l';20495;6;17;96;1016;1162;Servicios;5,67
1;Alicante/Alacant;Algorfa;3396;9;24;20;144;207;Servicios;6,1
2;Alicante/Alacant;Algorfa;3396;6;23;18;136;194;Servicios;5,71
3;Alicante/Alacant;Algorfa;3396;6;23;19;129;189;Servicios;5,57
4;Alicante/Alacant;Algorfa;3396;5;26;17;130;190;Servicios;5,59
5;Alicante/Alacant;Algorfa;3396;5;29;19;130;196;Servicios;5,77
6;Alicante/Alacant;Algorfa;3396;6;28;19;127;193;Servicios;5,68
7;Alicante/Alacant;Algorfa;3396;7;29;22;129;200;Servicios;5,89
8;Alicante/Alacant;Algorfa;3396;6;27;25;114;185;Servicios;5,45
9;Alicante/Alacant;Algorfa;3396;7;27;23;113;181;Servicios;5,33
10;Alicante/Alacant;Algorfa;3396;10;24;23;110;178;Servicios;5,24
11;Alicante/Alacant;Algorfa;3396;6;25;21;107;170;Servicios;5,01
12;Alicante/Alacant;Algorfa;3396;6;25;22;99;162;Servicios;4,77
1;Alicante/Alacant;Algueña;1334;21;40;5;65;145;Servicios;10,87
2;Alicante/Alacant;Algueña;1334;20;40;5;64;144;Servicios;10,79
3;Alicante/Alacant;Algueña;1334;18;41;4;64;142;Servicios;10,64
4;Alicante/Alacant;Algueña;1334;18;40;4;66;143;Servicios;10,72
5;Alicante/Alacant;Algueña;1334;14;40;4;62;135;Servicios;10,12
6;Alicante/Alacant;Algueña;1334;14;43;4;62;140;Servicios;10,49
7;Alicante/Alacant;Algueña;1334;15;42;4;65;143;Servicios;10,72
8;Alicante/Alacant;Algueña;1334;17;45;4;65;148;Servicios;11,09
9;Alicante/Alacant;Algueña;1334;16;40;5;67;145;Servicios;10,87
10;Alicante/Alacant;Algueña;1334;16;41;5;67;147;Servicios;11,02
11;Alicante/Alacant;Algueña;1334;14;39;4;69;145;Servicios;10,87
12;Alicante/Alacant;Algueña;1334;14;39;5;63;138;Servicios;10,34
1;Alicante/Alacant;Alicante/Alacant;337304;778;1715;3306;27035;36520;Servicios;10,83
2;Alicante/Alacant;Alicante/Alacant;337304;775;1699;3241;27596;37044;Servicios;10,98
3;Alicante/Alacant;Alicante/Alacant;337304;772;1704;3176;26979;36405;Servicios;10,79
4;Alicante/Alacant;Alicante/Alacant;337304;758;1681;3164;26971;36411;Servicios;10,79
5;Alicante/Alacant;Alicante/Alacant;337304;719;1651;3100;26146;35437;Servicios;10,51
6;Alicante/Alacant;Alicante/Alacant;337304;714;1583;3098;25516;34749;Servicios;10,3
7;Alicante/Alacant;Alicante/Alacant;337304;723;1564;3134;25009;34226;Servicios;10,15
8;Alicante/Alacant;Alicante/Alacant;337304;719;1605;3241;24958;34339;Servicios;10,18
9;Alicante/Alacant;Alicante/Alacant;337304;713;1621;3176;24762;34172;Servicios;10,13
10;Alicante/Alacant;Alicante/Alacant;337304;723;1620;3172;24925;34441;Servicios;10,21
11;Alicante/Alacant;Alicante/Alacant;337304;692;1539;2976;23398;32122;Servicios;9,52
12;Alicante/Alacant;Alicante/Alacant;337304;673;1527;2950;22316;30561;Servicios;9,06
1;Alicante/Alacant;Almoradí;21404;162;258;275;1389;2383;Servicios;11,13
2;Alicante/Alacant;Almoradí;21404;160;257;262;1384;2362;Servicios;11,04
3;Alicante/Alacant;Almoradí;21404;159;254;255;1354;2320;Servicios;10,84
4;Alicante/Alacant;Almoradí;21404;159;248;251;1352;2315;Servicios;10,82
5;Alicante/Alacant;Almoradí;21404;155;241;236;1341;2274;Servicios;10,62
6;Alicante/Alacant;Almoradí;21404;170;240;247;1346;2310;Servicios;10,79
7;Alicante/Alacant;Almoradí;21404;166;240;251;1353;2312;Servicios;10,8
8;Alicante/Alacant;Almoradí;21404;170;249;273;1364;2357;Servicios;11,01
9;Alicante/Alacant;Almoradí;21404;166;239;253;1363;2339;Servicios;10,93
10;Alicante/Alacant;Almoradí;21404;161;239;254;1344;2319;Servicios;10,83
11;Alicante/Alacant;Almoradí;21404;127;222;235;1240;2103;Servicios;9,83
